Equipment,Status_Category,Duration,Date
TR021,Delays,1.146388889,1 March 2014
TR021,Delays,0.796111111,1 March 2014
TR021,Direct Operating,10.07833333,1 March 2014
TR021,Direct Operating,8.753611111,1 March 2014
TR021,Planned Maintenance,0.407777778,1 March 2014
TR021,StandBy,0.775833333,1 March 2014
TR021,StandBy,2.0425,1 March 2014
TR022,StandBy,12,1 March 2014
TR022,StandBy,12,1 March 2014
TR025,Delays,0.16,1 March 2014
TR025,Delays,1.035555556,1 March 2014
TR025,Direct Operating,8.345277778,1 March 2014
TR025,Direct Operating,7.889722222,1 March 2014
TR025,Planned Maintenance,0.848611111,1 March 2014
TR025,Planned Maintenance,0.738888889,1 March 2014
TR025,StandBy,2.645555556,1 March 2014
TR025,StandBy,2.335555556,1 March 2014
TR026,Delays,0.896666667,1 March 2014
TR026,Delays,1.530277778,1 March 2014
TR026,Direct Operating,9.005555556,1 March 2014
TR026,Direct Operating,8.474166667,1 March 2014
TR026,Planned Maintenance,0.398888889,1 March 2014
TR026,StandBy,0.574722222,1 March 2014
TR026,StandBy,1.596666667,1 March 2014
TR026,Un-Planned Maintenance,1.523888889,1 March 2014
TR027,Delays,0.869444444,1 March 2014
TR027,Direct Operating,2.587222222,1 March 2014
TR027,Planned Maintenance,10.22472222,1 March 2014
TR027,Planned Maintenance,0.407222222,1 March 2014
TR027,StandBy,1.775277778,1 March 2014
TR027,StandBy,8.136111111,1 March 2014
TR028,Delays,0.895,1 March 2014
TR028,Delays,1.029166667,1 March 2014
TR028,Direct Operating,10.0425,1 March 2014
TR028,Direct Operating,9.778888889,1 March 2014
TR028,Planned Maintenance,0.144166667,1 March 2014
TR028,StandBy,0.918888889,1 March 2014
TR028,StandBy,1.191666667,1 March 2014
TR029,Delays,0.2375,1 March 2014
TR029,Delays,1.201388889,1 March 2014
TR029,Direct Operating,9.1975,1 March 2014
TR029,Direct Operating,7.925,1 March 2014
TR029,Planned Maintenance,0.132222222,1 March 2014
TR029,Planned Maintenance,0.883333333,1 March 2014
TR029,StandBy,2.433333333,1 March 2014
TR029,StandBy,0.770833333,1 March 2014
TR029,Un-Planned Maintenance,1.219166667,1 March 2014
TR030,Delays,0.556388889,1 March 2014
TR030,Delays,1.389444444,1 March 2014
TR030,Direct Operating,9.934444444,1 March 2014
TR030,Direct Operating,9.618055556,1 March 2014
TR030,StandBy,1.509444444,1 March 2014
TR030,StandBy,0.991666667,1 March 2014
TR031,Delays,0.7725,1 March 2014
TR031,Delays,1.301111111,1 March 2014
TR031,Direct Operating,9.9975,1 March 2014
TR031,Direct Operating,9.616666667,1 March 2014
TR031,StandBy,1.229722222,1 March 2014
TR031,StandBy,1.081944444,1 March 2014
TR032,Delays,0.205277778,1 March 2014
TR032,Direct Operating,8.907222222,1 March 2014
TR032,Planned Maintenance,0.5375,1 March 2014
TR032,StandBy,2.35,1 March 2014
TR032,StandBy,12,1 March 2014
TR201,Delays,0.784166667,1 March 2014
TR201,Delays,1.364444444,1 March 2014
TR201,Direct Operating,9.174722222,1 March 2014
TR201,Direct Operating,8.825833333,1 March 2014
TR201,Planned Maintenance,0.077777778,1 March 2014
TR201,Planned Maintenance,0.119166667,1 March 2014
TR201,StandBy,1.825555556,1 March 2014
TR201,StandBy,1.689722222,1 March 2014
TR201,Un-Planned Maintenance,0.1375,1 March 2014
TR202,Delays,0.720555556,1 March 2014
TR202,Delays,0.654722222,1 March 2014
TR202,Direct Operating,9.042777778,1 March 2014
TR202,Direct Operating,9.835555556,1 March 2014
TR202,Planned Maintenance,0.080277778,1 March 2014
TR202,Planned Maintenance,0.114166667,1 March 2014
TR202,StandBy,2.012222222,1 March 2014
TR202,StandBy,1.395555556,1 March 2014
TR202,Un-Planned Maintenance,0.143611111,1 March 2014
TR203,Delays,1.095555556,1 March 2014
TR203,Delays,0.787222222,1 March 2014
TR203,Direct Operating,8.520833333,1 March 2014
TR203,Direct Operating,9.7675,1 March 2014
TR203,Planned Maintenance,0.242777778,1 March 2014
TR203,StandBy,2.140555556,1 March 2014
TR203,StandBy,1.445277778,1 March 2014
TR204,Delays,1.2725,1 March 2014
TR204,Delays,1.14,1 March 2014
TR204,Direct Operating,8.993611111,1 March 2014
TR204,Direct Operating,9.026388889,1 March 2014
TR204,Planned Maintenance,0.108333333,1 March 2014
TR204,Planned Maintenance,0.213888889,1 March 2014
TR204,StandBy,1.626111111,1 March 2014
TR204,StandBy,1.619722222,1 March 2014
TR205,Delays,0.832222222,1 March 2014
TR205,Delays,0.66,1 March 2014
TR205,Direct Operating,8.945,1 March 2014
TR205,Direct Operating,8.150833333,1 March 2014
TR205,Planned Maintenance,0.489166667,1 March 2014
TR205,Planned Maintenance,0.131666667,1 March 2014
TR205,StandBy,1.733888889,1 March 2014
TR205,StandBy,1.792222222,1 March 2014
TR205,Un-Planned Maintenance,1.265555556,1 March 2014
TR206,Delays,1.666944444,1 March 2014
TR206,Delays,0.629166667,1 March 2014
TR206,Direct Operating,6.066944444,1 March 2014
TR206,Direct Operating,9.922777778,1 March 2014
TR206,Planned Maintenance,0.071111111,1 March 2014
TR206,Planned Maintenance,0.089722222,1 March 2014
TR206,StandBy,4.195,1 March 2014
TR206,StandBy,1.358055556,1 March 2014
TR207,Delays,0.18,1 March 2014
TR207,Direct Operating,3.035555556,1 March 2014
TR207,StandBy,0.515833333,1 March 2014
TR207,Un-Planned Maintenance,8.269166667,1 March 2014
TR207,Un-Planned Maintenance,12,1 March 2014
TR208,Delays,2.508611111,1 March 2014
TR208,Delays,0.238611111,1 March 2014
TR208,Direct Operating,7.673055556,1 March 2014
TR208,Direct Operating,0.391388889,1 March 2014
TR208,Planned Maintenance,0.110833333,1 March 2014
TR208,StandBy,1.707777778,1 March 2014
TR208,StandBy,1.618333333,1 March 2014
TR208,Un-Planned Maintenance,9.751388889,1 March 2014
TR221,Delays,1.320277778,1 March 2014
TR221,Delays,1.070277778,1 March 2014
TR221,Direct Operating,8.801944444,1 March 2014
TR221,Direct Operating,8.793055556,1 March 2014
TR221,Planned Maintenance,0.134722222,1 March 2014
TR221,Planned Maintenance,0.1475,1 March 2014
TR221,StandBy,1.599166667,1 March 2014
TR221,StandBy,1.988888889,1 March 2014
TR221,Un-Planned Maintenance,0.143333333,1 March 2014
TR222,Delays,1.420833333,1 March 2014
TR222,Delays,1.089166667,1 March 2014
TR222,Direct Operating,9.582777778,1 March 2014
TR222,Direct Operating,9.793055556,1 March 2014
TR222,Planned Maintenance,0.242777778,1 March 2014
TR222,Planned Maintenance,0.069166667,1 March 2014
TR222,StandBy,0.753888889,1 March 2014
TR222,StandBy,1.048333333,1 March 2014
TR223,Delays,0.846944444,1 March 2014
TR223,Delays,0.766111111,1 March 2014
TR223,Direct Operating,9.240833333,1 March 2014
TR223,Direct Operating,9.441388889,1 March 2014
TR223,Planned Maintenance,0.215833333,1 March 2014
TR223,Planned Maintenance,0.167222222,1 March 2014
TR223,StandBy,1.696111111,1 March 2014
TR223,StandBy,1.625555556,1 March 2014
TR224,Delays,0.713888889,1 March 2014
TR224,Direct Operating,1.329722222,1 March 2014
TR224,StandBy,0.470833333,1 March 2014
TR224,Un-Planned Maintenance,9.485555556,1 March 2014
TR224,Un-Planned Maintenance,12,1 March 2014
TRB004,Un-Planned Maintenance,12,1 March 2014
TRB004,Un-Planned Maintenance,12,1 March 2014
TRB006,Delays,0.940555556,1 March 2014
TRB006,Delays,1.221666667,1 March 2014
TRB006,Direct Operating,9.398611111,1 March 2014
TRB006,Direct Operating,8.795833333,1 March 2014
TRB006,StandBy,1.660277778,1 March 2014
TRB006,StandBy,1.981944444,1 March 2014
TRB041,Delays,1.901111111,1 March 2014
TRB041,Delays,1.408611111,1 March 2014
TRB041,Direct Operating,2.815277778,1 March 2014
TRB041,Direct Operating,8.885833333,1 March 2014
TRB041,StandBy,0.820555556,1 March 2014
TRB041,StandBy,1.705277778,1 March 2014
TRB041,Un-Planned Maintenance,6.462777778,1 March 2014
TRB114,Delays,0.604444444,1 March 2014
TRB114,Delays,1.223888889,1 March 2014
TRB114,Direct Operating,10.22555556,1 March 2014
TRB114,Direct Operating,8.887222222,1 March 2014
TRB114,StandBy,1.17,1 March 2014
TRB114,StandBy,1.888611111,1 March 2014
TRL3591,Delays,0.691666667,1 March 2014
TRL3591,Delays,0.766944444,1 March 2014
TRL3591,Direct Operating,10.61111111,1 March 2014
TRL3591,Direct Operating,8.006111111,1 March 2014
TRL3591,Planned Maintenance,0.149722222,1 March 2014
TRL3591,Planned Maintenance,0.213055556,1 March 2014
TRL3591,StandBy,0.548333333,1 March 2014
TRL3591,StandBy,1.124444444,1 March 2014
TRL3591,Un-Planned Maintenance,1.889444444,1 March 2014
TRL3592,Delays,1.652222222,1 March 2014
TRL3592,Delays,0.354166667,1 March 2014
TRL3592,Direct Operating,9.111666667,1 March 2014
TRL3592,Planned Maintenance,0.194722222,1 March 2014
TRL3592,Planned Maintenance,9.192777778,1 March 2014
TRL3592,StandBy,1.041388889,1 March 2014
TRL3592,StandBy,2.453055556,1 March 2014
TRL3593,Delays,1.320833333,1 March 2014
TRL3593,Delays,0.892777778,1 March 2014
TRL3593,Direct Operating,10.02555556,1 March 2014
TRL3593,Direct Operating,9.843333333,1 March 2014
TRL3593,Planned Maintenance,0.161944444,1 March 2014
TRL3593,Planned Maintenance,0.165277778,1 March 2014
TRL3593,StandBy,0.124722222,1 March 2014
TRL3593,StandBy,1.098888889,1 March 2014
TRL3593,Un-Planned Maintenance,0.366944444,1 March 2014
TRL3594,Delays,1.378611111,1 March 2014
TRL3594,Direct Operating,8.417777778,1 March 2014
TRL3594,Planned Maintenance,0.124444444,1 March 2014
TRL3594,StandBy,0.5825,1 March 2014
TRL3594,Un-Planned Maintenance,1.496944444,1 March 2014
TRL3594,Un-Planned Maintenance,12,1 March 2014
TR021,Delays,2.924722222,2 March 2014
TR021,Direct Operating,8.6875,2 March 2014
TR021,Direct Operating,6.830277778,2 March 2014
TR021,StandBy,3.312777778,2 March 2014
TR021,StandBy,2.245,2 March 2014
TR022,StandBy,12,2 March 2014
TR022,StandBy,12,2 March 2014
TR025,Delays,0.07,2 March 2014
TR025,Delays,0.343333333,2 March 2014
TR025,Direct Operating,8.509722222,2 March 2014
TR025,Direct Operating,6.535277778,2 March 2014
TR025,Planned Maintenance,0.443055556,2 March 2014
TR025,StandBy,2.9775,2 March 2014
TR025,StandBy,5.121666667,2 March 2014
TR026,Delays,1.501666667,2 March 2014
TR026,Delays,0.915555556,2 March 2014
TR026,Direct Operating,7.818055556,2 March 2014
TR026,Direct Operating,9.942222222,2 March 2014
TR026,Planned Maintenance,0.102222222,2 March 2014
TR026,StandBy,2.680555556,2 March 2014
TR026,StandBy,1.039444444,2 March 2014
TR027,Delays,0.230277778,2 March 2014
TR027,Direct Operating,4.330555556,2 March 2014
TR027,Direct Operating,3.610555556,2 March 2014
TR027,StandBy,7.669444444,2 March 2014
TR027,StandBy,8.159166667,2 March 2014
TR028,Delays,0.229722222,2 March 2014
TR028,Delays,0.522777778,2 March 2014
TR028,Direct Operating,9.894166667,2 March 2014
TR028,Direct Operating,8.513611111,2 March 2014
TR028,Planned Maintenance,0.321388889,2 March 2014
TR028,StandBy,1.554166667,2 March 2014
TR028,StandBy,2.964166667,2 March 2014
TR029,Delays,0.210833333,2 March 2014
TR029,Direct Operating,8.652222222,2 March 2014
TR029,Planned Maintenance,0.793333333,2 March 2014
TR029,StandBy,1.279444444,2 March 2014
TR029,StandBy,12,2 March 2014
TR029,Un-Planned Maintenance,1.063888889,2 March 2014
TR030,Delays,0.799722222,2 March 2014
TR030,Direct Operating,9.334722222,2 March 2014
TR030,StandBy,12,2 March 2014
TR030,StandBy,1.865555556,2 March 2014
TR031,Delays,0.2375,2 March 2014
TR031,Delays,0.021388889,2 March 2014
TR031,Direct Operating,8.440833333,2 March 2014
TR031,Direct Operating,3.469444444,2 March 2014
TR031,Planned Maintenance,0.198611111,2 March 2014
TR031,StandBy,2.412777778,2 March 2014
TR031,StandBy,4.983055556,2 March 2014
TR031,Un-Planned Maintenance,0.709722222,2 March 2014
TR031,Un-Planned Maintenance,3.525833333,2 March 2014
TR032,Delays,0.378888889,2 March 2014
TR032,Delays,0.406111111,2 March 2014
TR032,Direct Operating,9.255,2 March 2014
TR032,Direct Operating,6.4125,2 March 2014
TR032,Planned Maintenance,0.104444444,2 March 2014
TR032,StandBy,2.261944444,2 March 2014
TR032,StandBy,5.180833333,2 March 2014
TR201,Delays,0.905555556,2 March 2014
TR201,Delays,0.285277778,2 March 2014
TR201,Direct Operating,9.086388889,2 March 2014
TR201,Planned Maintenance,0.138888889,2 March 2014
TR201,Planned Maintenance,4.805555556,2 March 2014
TR201,StandBy,1.506666667,2 March 2014
TR201,StandBy,3.776111111,2 March 2014
TR201,Un-Planned Maintenance,0.362222222,2 March 2014
TR201,Un-Planned Maintenance,3.132777778,2 March 2014
TR202,Delays,2.430277778,2 March 2014
TR202,Delays,0.820833333,2 March 2014
TR202,Direct Operating,7.901388889,2 March 2014
TR202,Direct Operating,9.336666667,2 March 2014
TR202,Planned Maintenance,0.171666667,2 March 2014
TR202,Planned Maintenance,0.089166667,2 March 2014
TR202,StandBy,1.496944444,2 March 2014
TR202,StandBy,1.753333333,2 March 2014
TR203,Delays,2.013333333,2 March 2014
TR203,Delays,0.959722222,2 March 2014
TR203,Direct Operating,8.094722222,2 March 2014
TR203,Direct Operating,7.656388889,2 March 2014
TR203,Planned Maintenance,0.134444444,2 March 2014
TR203,Planned Maintenance,0.094444444,2 March 2014
TR203,StandBy,1.758055556,2 March 2014
TR203,StandBy,3.289444444,2 March 2014
TR204,Delays,0.738055556,2 March 2014
TR204,Delays,6.609444444,2 March 2014
TR204,Direct Operating,0.740277778,2 March 2014
TR204,Direct Operating,4.299722222,2 March 2014
TR204,Planned Maintenance,0.205555556,2 March 2014
TR204,StandBy,6.743888889,2 March 2014
TR204,StandBy,0.581111111,2 March 2014
TR204,Un-Planned Maintenance,3.7775,2 March 2014
TR204,Un-Planned Maintenance,0.303611111,2 March 2014
TR205,Delays,1.710277778,2 March 2014
TR205,Delays,0.946388889,2 March 2014
TR205,Direct Operating,8.225,2 March 2014
TR205,Direct Operating,6.061111111,2 March 2014
TR205,Planned Maintenance,0.098055556,2 March 2014
TR205,Planned Maintenance,0.153888889,2 March 2014
TR205,StandBy,1.966388889,2 March 2014
TR205,StandBy,4.236944444,2 March 2014
TR205,Un-Planned Maintenance,0.601944444,2 March 2014
TR206,Delays,1.485,2 March 2014
TR206,Delays,0.992222222,2 March 2014
TR206,Direct Operating,8.787777778,2 March 2014
TR206,Direct Operating,8.977222222,2 March 2014
TR206,Planned Maintenance,0.106388889,2 March 2014
TR206,Planned Maintenance,0.114722222,2 March 2014
TR206,StandBy,1.620277778,2 March 2014
TR206,StandBy,1.915833333,2 March 2014
TR207,Un-Planned Maintenance,12,2 March 2014
TR207,Un-Planned Maintenance,12,2 March 2014
TR208,Delays,2.638055556,2 March 2014
TR208,Delays,0.631666667,2 March 2014
TR208,Direct Operating,7.464444444,2 March 2014
TR208,Direct Operating,9.338888889,2 March 2014
TR208,Planned Maintenance,0.161944444,2 March 2014
TR208,Planned Maintenance,0.130277778,2 March 2014
TR208,StandBy,1.735,2 March 2014
TR208,StandBy,1.899166667,2 March 2014
TR221,Delays,0.548055556,2 March 2014
TR221,Delays,1.287777778,2 March 2014
TR221,Direct Operating,9.625277778,2 March 2014
TR221,Direct Operating,8.651111111,2 March 2014
TR221,Planned Maintenance,0.293333333,2 March 2014
TR221,Planned Maintenance,0.131666667,2 March 2014
TR221,StandBy,1.533055556,2 March 2014
TR221,StandBy,1.929166667,2 March 2014
TR222,Delays,0.913888889,2 March 2014
TR222,Delays,0.583333333,2 March 2014
TR222,Direct Operating,10.09972222,2 March 2014
TR222,Direct Operating,10.2425,2 March 2014
TR222,Planned Maintenance,0.096388889,2 March 2014
TR222,Planned Maintenance,0.214722222,2 March 2014
TR222,StandBy,0.89,2 March 2014
TR222,StandBy,0.959166667,2 March 2014
TR223,Delays,1.103888889,2 March 2014
TR223,Delays,0.668888889,2 March 2014
TR223,Direct Operating,9.923888889,2 March 2014
TR223,Direct Operating,10.30083333,2 March 2014
TR223,Planned Maintenance,0.15,2 March 2014
TR223,Planned Maintenance,0.169166667,2 March 2014
TR223,StandBy,0.822222222,2 March 2014
TR223,StandBy,0.861666667,2 March 2014
TR224,Delays,0.891666667,2 March 2014
TR224,Delays,0.206944444,2 March 2014
TR224,Direct Operating,8.841944444,2 March 2014
TR224,Direct Operating,4.961666667,2 March 2014
TR224,Planned Maintenance,0.207222222,2 March 2014
TR224,Planned Maintenance,0.154722222,2 March 2014
TR224,StandBy,0.564722222,2 March 2014
TR224,StandBy,6.676944444,2 March 2014
TR224,Un-Planned Maintenance,1.494166667,2 March 2014
TRB004,Delays,0.003055556,2 March 2014
TRB004,Delays,0.282777778,2 March 2014
TRB004,Direct Operating,3.895833333,2 March 2014
TRB004,StandBy,1.178055556,2 March 2014
TRB004,StandBy,1.231111111,2 March 2014
TRB004,Un-Planned Maintenance,10.81888889,2 March 2014
TRB004,Un-Planned Maintenance,6.590555556,2 March 2014
TRB006,Delays,0.418333333,2 March 2014
TRB006,Delays,1.420555556,2 March 2014
TRB006,Direct Operating,9.145833333,2 March 2014
TRB006,Direct Operating,9.147777778,2 March 2014
TRB006,Planned Maintenance,0.860277778,2 March 2014
TRB006,StandBy,1.575555556,2 March 2014
TRB006,StandBy,1.431666667,2 March 2014
TRB041,Delays,0.680555556,2 March 2014
TRB041,Delays,0.566111111,2 March 2014
TRB041,Direct Operating,10.16638889,2 March 2014
TRB041,Direct Operating,9.146388889,2 March 2014
TRB041,StandBy,1.153333333,2 March 2014
TRB041,StandBy,2.287777778,2 March 2014
TRB114,Delays,0.554722222,2 March 2014
TRB114,Delays,1.233611111,2 March 2014
TRB114,Direct Operating,10.12,2 March 2014
TRB114,Direct Operating,7.761666667,2 March 2014
TRB114,StandBy,1.325277778,2 March 2014
TRB114,StandBy,1.837222222,2 March 2014
TRB114,Un-Planned Maintenance,1.166944444,2 March 2014
TRL3591,Delays,0.874444444,2 March 2014
TRL3591,Delays,0.3225,2 March 2014
TRL3591,Direct Operating,10.71972222,2 March 2014
TRL3591,Direct Operating,9.999166667,2 March 2014
TRL3591,Planned Maintenance,0.120833333,2 March 2014
TRL3591,Planned Maintenance,0.131388889,2 March 2014
TRL3591,StandBy,0.285,2 March 2014
TRL3591,StandBy,1.547222222,2 March 2014
TRL3592,Delays,1.592777778,2 March 2014
TRL3592,Direct Operating,8.421666667,2 March 2014
TRL3592,Planned Maintenance,5.005277778,2 March 2014
TRL3592,Planned Maintenance,0.154722222,2 March 2014
TRL3592,StandBy,6.994722222,2 March 2014
TRL3592,StandBy,1.830833333,2 March 2014
TRL3593,Delays,1.728333333,2 March 2014
TRL3593,Delays,2.009722222,2 March 2014
TRL3593,Direct Operating,9.475555556,2 March 2014
TRL3593,Direct Operating,7.828333333,2 March 2014
TRL3593,Planned Maintenance,0.191944444,2 March 2014
TRL3593,Planned Maintenance,0.159722222,2 March 2014
TRL3593,StandBy,0.603888889,2 March 2014
TRL3593,StandBy,2.001388889,2 March 2014
TRL3594,Un-Planned Maintenance,12,2 March 2014
TRL3594,Un-Planned Maintenance,12,2 March 2014
TR021,Delays,0.687222222,3 March 2014
TR021,Delays,0.386388889,3 March 2014
TR021,Direct Operating,8.455555556,3 March 2014
TR021,Direct Operating,9.184722222,3 March 2014
TR021,Planned Maintenance,0.1425,3 March 2014
TR021,StandBy,2.856666667,3 March 2014
TR021,StandBy,2.286944444,3 March 2014
TR022,StandBy,12,3 March 2014
TR022,StandBy,12,3 March 2014
TR025,Delays,0.238333333,3 March 2014
TR025,Delays,1.171388889,3 March 2014
TR025,Direct Operating,9.488888889,3 March 2014
TR025,Direct Operating,8.760555556,3 March 2014
TR025,Planned Maintenance,0.511111111,3 March 2014
TR025,Planned Maintenance,0.6425,3 March 2014
TR025,StandBy,1.760833333,3 March 2014
TR025,StandBy,1.425,3 March 2014
TR026,Delays,0.520833333,3 March 2014
TR026,Delays,1.834722222,3 March 2014
TR026,Direct Operating,8.455833333,3 March 2014
TR026,Direct Operating,8.125277778,3 March 2014
TR026,StandBy,3.023333333,3 March 2014
TR026,StandBy,1.981111111,3 March 2014
TR026,Un-Planned Maintenance,0.058333333,3 March 2014
TR027,Delays,0.243333333,3 March 2014
TR027,Delays,1.138888889,3 March 2014
TR027,Direct Operating,3.451666667,3 March 2014
TR027,Direct Operating,8.730277778,3 March 2014
TR027,Planned Maintenance,0.153333333,3 March 2014
TR027,StandBy,8.305277778,3 March 2014
TR027,StandBy,1.977777778,3 March 2014
TR028,Delays,1.429166667,3 March 2014
TR028,Delays,0.718333333,3 March 2014
TR028,Direct Operating,8.244166667,3 March 2014
TR028,Direct Operating,10.01555556,3 March 2014
TR028,Planned Maintenance,0.356388889,3 March 2014
TR028,StandBy,1.969722222,3 March 2014
TR028,StandBy,1.266666667,3 March 2014
TR029,Delays,0.165277778,3 March 2014
TR029,Delays,1.280555556,3 March 2014
TR029,Direct Operating,8.921111111,3 March 2014
TR029,Direct Operating,8.391944444,3 March 2014
TR029,Planned Maintenance,0.726388889,3 March 2014
